xmltv_id,display_name,groups
FNX.us@SD,FNX,Culture
FoxNewsRadio.us@SD,Fox News Radio,News
FreebieTV.us@SD,Freebie TV,Entertainment
FrightFlix.us@SD,FrightFlix,Movies
FunRoads.us@SD,Fun Roads,Auto;Travel
G10TV.us@SD,G10TV,Legislative
Gagsnetwork.us@SD,Gagsnetwork,Comedy
GalvestonCountyTV.us@SD,Galveston County TV,Legislative
GalxyTV.us@SD,Galxy TV,Entertainment
GanjeHozourTV.us@SD,Ganj e Hozour TV,General
GCNAmerica.us@SD,GCN America,Religious
GCOtv.us@SD,GCO.tv,General
GEBNetwork.us@KBPXLD,GEB Network KBPX-LD,Religious
GenesisScienceNetwork.us@SD,Genesis Science Network,Religious
GiggleMug.us@SD,Giggle Mug,Kids
GillettePublicAccessTelevisionChannel189.us@SD,Gillette Public Access Television Channel 189,Education
GillettePublicAccessTelevisionChannel190.us@SD,Gillette Public Access Television Channel 190,General
GillettePublicAccessTelevisionChannel192.us@SD,Gillette Public Access Television Channel 192,Legislative
GirlfriendsFilms.us@SD,Girlfriends Films,Movies
Glendale11AZ.us@SD,Glendale 11 AZ,Legislative
GlendaleTV.us@SD,Glendale TV,Legislative
GlobalBuddhistNetwork.us@SD,Global Buddhist Network,Religious
GlobalFashionChannel.us@SD,Global Fashion Channel,Lifestyle
GlobalWorldTV.us@SD,GlobalWorldTV,Entertainment
GMTV.us@SD,GMTV,Music
GodsLearningChannel.us@KPCBDT,God's Learning Channel KPCB-DT,Religious
GoodLife45.us@SD,GoodLife 45,Religious
GordonRamsaysHellsKitchen.us@SD,Gordon Ramsay's Hell's Kitchen,Cooking
GospelTruthTV.us@SD,Gospel Truth TV,Religious
GovernmentTV16.us@SD,Government TV 16,Legislative
GreaterLoveTV.us@SD,Greater Love TV,Religious
GreensboroTV.us@SD,Greensboro TV,Legislative
GrjngoWesternMovies.de@SD,Grjngo Western Movies,Movies
GuangdongTVAmerica.us@SD,Guangdong TV America,General
GunAzTV.us@SD,GunAz TV,General
HappyKids.us@SD,HappyKids,Kids
HarmonyGospelMusicTV.us@SD,Harmony Gospel Music TV,Music;Religious
HarPalGeo.pk@SD,HarPal Geo,Culture
HarvestUSA.in@SD,Harvest USA,Religious
HBTV.us@SD,HBTV,General
HCTVEducationalAccessChannel.us@SD,HCTV Educational Access Channel,Education
HCTVGovernmentChannel.us@SD,HCTV Government Channel,Legislative
HCTVPublicAccessChannel.us@SD,HCTV Public Access Channel,General
Heartland.us@Eastern,Heartland,Entertainment
Heartland.us@Web,Heartland Web,Entertainment
HighVisionTV.us@SD,High Vision TV,Music
HillsboroughTV.us@SD,Hillsborough TV,Legislative
HisGloryTV.us@SD,His Glory TV,General
HKTV.us@SD,HKTV,Education
HMIPROMZNEWS.us@SD,HMI PROMZ NEWS,Music
HmongStarTV.us@SD,Hmong Star TV,Culture
HmongTVNetwork.us@SD,Hmong TV Network,Culture
HogansHeroes.us@SD,Hogan's Heroes,Classic
HollyWire.us@SD,HollyWire,Entertainment;News
Hope4LifeTV.us@SD,Hope4Life TV,Religious
HopeChannelInterAmerica.us@SD,Hope Channel Inter-America,Religious
HopeChannelInterAmericaEnglish.us@SD,Hope Channel Inter-America English,Religious
HopeChannelInternational.us@SD,Hope Channel International,Religious
HopeChannelNorthAmerica.us@SD,Hope Channel North America,Religious
HTV1HoustonTelevision.us@SD,HTV 1 Houston Television,Legislative
HTV2HoustonTelevision.us@SD,HTV 2 Houston Television,Legislative
HumorMill.us@SD,"like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0"" group-title=""Comedy"",Humor Mill",Comedy
Hungry.us@SD,Hungry,Cooking
iCarly.us@SD,iCarly (United States) SD,Series
iHolyfieldTV.us@WHPSCD,iHolyfield TV WHPS-CD,Undefined
ImanTV.us@SD,Iman TV,Religious
InstantSaga.us@US,Instant Saga,Series
IntheKitchen.us@SD,In the Kitchen,Cooking;Shop
INWILD.nl@SD,INWILD,Documentary
IraneFardaTV.uk@SD,IraneFarda TV,News
IronChef.us@US,Iron Chef,Series
ItIsWrittenTV.us@SD,It Is Written TV,Religious
ItsSupernaturalNetwork.us@SD,It's Supernatural! Network,Religious
JewelryTV.us@SD,Jewelry TV,Shop
JewelryTV2.us@SD,Jewelry TV 2,Shop
JewishLifeTelevision.us@SD,Jewish Life Television,Culture;Religious
JoelOsteenNetwork.us@HD,Joel Osteen Network,Religious
JusHindi.us@SD,Jus Hindi,Culture
JusOne.us@SD,Jus One,Culture
JusPunjabi.us@SD,Jus Punjabi,Culture
JustforLaughsGags.us@SD,Just for Laughs Gags,Comedy
KajouTV.us@SD,Kajou TV,Culture
KaloopyTV.us@SD,Kaloopy TV,Lifestyle
