xmltv_id,display_name,category,source_id,source_display_name,match_method,programme_count
ScrippsNews.us@SD,Scripps News,fast,ScrippsNews.us,Scripps News,base-id,93
SECNetwork.us@SD,SEC Network,sports,SECNetwork.us,SEC Network,base-id,92
ShopLC.us@SD,Shop LC,fast,ShopLC.us,Shop LC,base-id,85
ShoutFactoryTV.us@SD,Shout! TV,fast,ShoutTV.us,Shout! TV,playlist-name,135
ShowtimeFamilyZone.us@East,Showtime Family Zone,local,ShowtimeFamilyzone.us,SHOWTIME FAMILY,base-id,51
SitcomLegends.us@SD,Sitcom Legends,fast,SitcomLegends.pluto,PLUTO - Sitcom Legends,normalized-base-id,39
SketchyAF.us@SD,Sketchy AF,fast,SketchyAF.pluto,PLUTO - Sketchy AF,normalized-base-id,33
SmithsonianChannelSelects.us@SD,Smithsonian Channel Selects,fast,SmithsonianChannelSelects.pluto,PLUTO - Smithsonian Channel Selects,normalized-base-id,20
SpikeOutdoors.us@SD,Spike Outdoors,fast,SpikeOutdoors.pluto,PLUTO - Spike Outdoors,normalized-base-id,27
SpikePlutoTV.us@SD,Spike Pluto TV,fast,SpikePlutoTV.pluto,PLUTO - Spike Pluto TV,normalized-base-id,35
SportsGrid.us@SD,SportsGrid,fast,SportsGrid.us,SportsGrid,base-id,86
Stadium.us@SD,Stadium,fast,Stadium.us,Stadium,base-id,45
StarTrek.us@US,Star Trek,fast,StarTrek.pluto,PLUTO - Star Trek,normalized-base-id,21
StarTrekDeepSpaceNine.us@SD,Star Trek: Deep Space Nine,fast,StarTrek:DeepSpaceNine.pluto,PLUTO - Star Trek: Deep Space Nine,normalized-base-id,21
StarTrekTheNextGeneration.us@SD,Star Trek: The Next Generation,fast,StarTrek:TheNextGeneration.pluto,PLUTO - Star Trek: The Next Generation,normalized-base-id,21
StarTrekVoyager.us@SD,Star Trek: Voyager,fast,StarTrek:Voyager.pluto,PLUTO - Star Trek: Voyager,normalized-base-id,21
Starz.us@East,Starz,main,Starz.us,Starz,base-id,99
StarzCinema.us@East,Starz Cinema,main,StarzCinema.us,Starz Cinema,base-id,94
StarzComedy.us@East,Starz Comedy,main,StarzComedy.us,Starz Comedy,base-id,95
StarzEdge.us@East,Starz Edge,main,StarzEdge.us,Starz Edge,base-id,96
StarzEncoreSpanish.us@East,Starz Encore Spanish,main,StarzEncoreEspanol.us,STARZ ENCORE ESPANOL,metadata-name,99
StarzKidsFamily.us@East,Starz Kids & Family,main,StarzKids.us,STARZ KIDS & FAMILY,playlist-name,106
StoriesbyAMC.us@SD,Stories by AMC,fast,StoriesbyAMC.us,Stories by AMC,base-id,92
SupernaturalDrama.us@SD,Supernatural Drama,fast,SupernaturalDrama.pluto,PLUTO - Supernatural Drama,normalized-base-id,21
Survivor.us@SD,Survivor,fast,Survivor.pluto,PLUTO - Survivor,normalized-base-id,20
SwerveCombat.us@SD,Swerve Combat,fast,SwerveCombat.us,Swerve Combat,base-id,53
SYFY.us@East,SYFY,main,Syfy.us,Syfy,base-id,94
Tastemade.us@US,Tastemade,fast,Tastemade.us,Tastemade,base-id,136
TastemadeTravel.us@SD,Tastemade Travel,fast,TastemadeTravel.us,Tastemade Travel,base-id,120
TBN.us@East,TBN,local,TBN.us,TBN,base-id,150
TED.us@SD,TED,fast,TED.us,TED,base-id,85
TeenMom.us@SD,Teen Mom,fast,TeenMom.pluto,PLUTO - Teen Mom,normalized-base-id,20
TeenNick.us@East,TeenNick,main,TeenNick.us,TeenNick,base-id,344
Telemundo.us@East,Telemundo,local,Telemundo.us,Telemundo,base-id,90
Telemundo.us@EastHD,Telemundo East HD,local,Telemundo.us,Telemundo,base-id,90
Telemundo.us@West,Telemundo West,local,Telemundo.us,Telemundo,base-id,90
Telemundo.us@WestHD,Telemundo West HD,local,Telemundo.us,Telemundo,base-id,90
Telemundo.us@WTMOCD,WTMO-CD 31.1,local,TelemundoWTMO.us,Telemundo WTMO Orlando FL,base-feed-id,110
TelemundoTelenovelasClasicas.us@SD,Telemundo telenovelas clásicas,fast,Telemundotelenovelasclásicas.pluto,PLUTO - Telemundo telenovelas clásicas,normalized-base-id,21
TennisChannel.us@Plus2,TennisChannel 2,fast,TennisChannelPlus2.us,Tennis Channel Plus 2,base-feed-id,72
TennisChannel.us@SD,Tennis Channel,sports,TennisChannel.us,Tennis Channel,base-id,61
TGJunior.us@SD,Toon Goggles Junior,fast,TGJunior.us,TG Junior,base-id,22
TheAddamsFamily.us@SD,The Addams Family,fast,TheAddamsFamily.pluto,PLUTO - The Addams Family,normalized-base-id,39
